subject,model,mean_acc,std_acc,n_folds
s01,svm-gpu,0.9569268635724331,0.0012281469195902209,5
s01,rf-gpu,0.9864451476793249,0.0007363006888668178,5
s01,lda,0.9088607594936707,0.0019092859381488539,5
s02,svm-gpu,0.9806472081218274,0.0012566371216170046,5
s02,rf-gpu,0.9917301184433164,0.0016029860678085132,5
s02,lda,0.9799492385786802,0.0018152581253067077,5
s03,svm-gpu,0.9524957698815568,0.0029325431493125204,5
s03,rf-gpu,0.9780245346869713,0.0008756447353842562,5
s03,lda,0.9143612521150593,0.002902644273355944,5
s04,svm-gpu,0.9622038917089679,0.002221919794698632,5
s04,rf-gpu,0.9827622673434856,0.0005137460998938856,5
s04,lda,0.9384094754653131,0.00229422999858022,5
s05,svm-gpu,0.9581641285956006,0.0018164898945502693,5
s05,rf-gpu,0.9845177664974619,0.0011382084642194324,5
s05,lda,0.9314932318104907,0.00214905005006439,5
s06,svm-gpu,0.9821065989847716,0.00044062323722505315,5
s06,rf-gpu,0.9930837563451776,0.0002555635781217018,5
s06,lda,0.9694162436548224,0.0010957558246183026,5
s07,svm-gpu,0.9699450084602368,0.0003626571108181601,5
s07,rf-gpu,0.9899534686971234,0.0009943028150205784,5
s07,lda,0.9365693739424705,0.001509565641290666,5
s08,svm-gpu,0.9344120135363791,0.0016819708419687782,5
s08,rf-gpu,0.9795685279187817,0.0014004183889379767,5
s08,lda,0.9279610829103214,0.0013466799813647646,5
s09,svm-gpu,0.9868020304568528,0.0012321921881243334,5
s09,rf-gpu,0.9961928934010154,0.0008898343472065367,5
s09,lda,0.9782783417935702,0.0005698897455713834,5
s10,svm-gpu,0.9731387478849408,0.001888216084658679,5
s10,rf-gpu,0.9872673434856175,0.0015962743032244921,5
s10,lda,0.9499576988155669,0.002789473660754758,5
s11,svm-gpu,0.988769035532995,0.00044062323722503927,5
s11,rf-gpu,0.9978849407783418,0.00037835329568523026,5
s11,lda,0.9717851099830795,0.0009491880572046021,5
